Date : 2025-07-31 10:28:57
Directory : d:\IdeaProjects\-qsz
Total : 140 files,  10243 codes, 2131 comments, 2836 blanks, all 15210 lines

Languages
+-----------------------------+------------+------------+------------+------------+------------+
| language                    | files      | code       | comment    | blank      | total      |
+-----------------------------+------------+------------+------------+------------+------------+
| GDScript                    |         66 |      9,568 |      2,131 |      2,594 |     14,293 |
| Markdown                    |          3 |        576 |          0 |        174 |        750 |
| Asset Properties Definition |         66 |         66 |          0 |         66 |        132 |
| XML                         |          4 |         29 |          0 |          0 |         29 |
| GDScene                     |          1 |          4 |          0 |          2 |          6 |
+-----------------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                            |        140 |     10,243 |      2,131 |      2,836 |     15,210 |
| . (Files)                                                    |         10 |        929 |         86 |        216 |      1,231 |
| .idea                                                        |          4 |         29 |          0 |          0 |         29 |
| battleScene                                                  |          4 |        537 |        137 |        158 |        832 |
| config                                                       |         40 |      3,631 |        889 |      1,015 |      5,535 |
| dialog                                                       |          2 |        335 |         54 |         69 |        458 |
| monster                                                      |         14 |      1,487 |        262 |        390 |      2,139 |
| scenes                                                       |          1 |          4 |          0 |          2 |          6 |
| skill                                                        |          8 |        146 |         38 |         43 |        227 |
| system                                                       |         28 |      1,092 |        288 |        321 |      1,701 |
| town                                                         |          4 |        489 |         97 |        181 |        767 |
| util                                                         |         25 |      1,564 |        280 |        441 |      2,285 |
+--------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------+-----------------------------+------------+------------+------------+------------+
| filename                                                     | language                    | code       | comment    | blank      | total      |
+--------------------------------------------------------------+-----------------------------+------------+------------+------------+------------+
| d:\IdeaProjects\-qsz\.idea\-qsz.iml                          | XML                         |          9 |          0 |          0 |          9 |
| d:\IdeaProjects\-qsz\.idea\misc.xml                          | XML                         |          6 |          0 |          0 |          6 |
| d:\IdeaProjects\-qsz\.idea\modules.xml                       | XML                         |          8 |          0 |          0 |          8 |
| d:\IdeaProjects\-qsz\.idea\vcs.xml                           | XML                         |          6 |          0 |          0 |          6 |
| d:\IdeaProjects\-qsz\battleScene\boss_test.gd                | GDScript                    |        146 |          5 |         32 |        183 |
| d:\IdeaProjects\-qsz\battleScene\boss_test.gd.uid            | Asset Properties Definition |          1 |          0 |          1 |          2 |
| d:\IdeaProjects\-qsz\battleScene\stage1.gd                   | GDScript                    |        389 |        132 |        124 |        645 |
| d:\IdeaProjects\-qsz\battleScene\stage1.gd.uid               | Asset Properties Definition |          1 |          0 |          1 |          2 |
| d:\IdeaProjects\-qsz\config\base_bullet.gd                   | GDScript                    |        122 |         48 |         44 |        214 |
| d:\IdeaProjects\-qsz\config\base_bullet.gd.uid               | Asset Properties Definition |          1 |          0 |          1 |          2 |
| d:\IdeaProjects\-qsz\config\branch.gd                        | GDScript                    |        165 |         82 |         55 |        302 |
| d:\IdeaProjects\-qsz\config\branch.gd.uid                    | Asset Properties Definition |          1 |          0 |          1 |          2 |
| d:\IdeaProjects\-qsz\config\buff_manager.gd                  | GDScript                    |         93 |         27 |         32 |        152 |
| d:\IdeaProjects\-qsz\config\buff_manager.gd.uid              | Asset Properties Definition |          1 |          0 |          1 |          2 |
| d:\IdeaProjects\-qsz\config\buff_ui.gd                       | GDScript                    |        234 |         59 |         62 |        355 |
| d:\IdeaProjects\-qsz\config\buff_ui.gd.uid                   | Asset Properties Definition |          1 |          0 |          1 |          2 |
| d:\IdeaProjects\-qsz\config\bullet.gd                        | GDScript                    |        200 |         67 |         63 |        330 |
| d:\IdeaProjects\-qsz\config\bullet.gd.uid                    | Asset Properties Definition |          1 |          0 |          1 |          2 |
| d:\IdeaProjects\-qsz\config\bullet_cal.gd                    | GDScript                    |         71 |         26 |         18 |        115 |
| d:\IdeaProjects\-qsz\config\bullet_cal.gd.uid                | Asset Properties Definition |          1 |          0 |          1 |          2 |
| d:\IdeaProjects\-qsz\config\enemy_debuff_manager.gd          | GDScript                    |        125 |          8 |         30 |        163 |
| d:\IdeaProjects\-qsz\config\enemy_debuff_manager.gd.uid      | Asset Properties Definition |          1 |          0 |          1 |          2 |
| d:\IdeaProjects\-qsz\config\fire_instance.gd                 | GDScript                    |         36 |          7 |          8 |         51 |
| d:\IdeaProjects\-qsz\config\fire_instance.gd.uid             | Asset Properties Definition |          1 |          0 |          1 |          2 |
